ID_Cliente,Edad,Estado_Civil,Ingreso_Mensual,Cuenta_Sueldo,Cantidad_Producto_Financiero_BBVA,Uso_Banca_Internet,Deuda_Total_Tarjeta_ Credito,Linea_Disponible_Tarjeta_Credito,Linea_Total_Tarjeta_Credito,Porcentaje_Linea_Utilizada,Cantidad TOTAL_Reclamos
ID274,59,0,14,0,2,0,0,75,75,0%,5
ID275,59,2,16,0,3,0,1,4,5,20%,3
ID276,59,2,19,0,3,1,0,60,60,0%,4
ID277,59,3,13,0,3,1,0,52,52,0%,4
ID278,59,2,15,0,4,1,0,11,11,0%,4
ID279,59,3,19,1,4,1,9,20,29,31%,9
ID280,60,2,13,0,3,1,0,9,9,0%,5
ID281,60,1,16,0,4,1,1,33,34,3%,7
ID282,60,1,15,0,4,1,47,110,157,30%,6
ID283,61,2,14,0,2,1,9,0,9,100%,3
ID284,61,3,19,0,3,1,0,110,110,0%,10
ID285,61,2,12,0,4,0,0,23,23,0%,3
ID286,62,2,18,1,3,1,22,51,73,30%,4
ID287,62,2,13,0,3,1,0,70,70,0%,4
ID288,62,2,18,1,4,1,8,90,98,8%,6
ID289,63,3,15,0,2,1,0,110,110,0%,4
ID290,63,2,12,0,2,0,0,70,70,0%,3
ID291,63,3,12,0,3,1,0,19,19,0%,4
ID292,63,3,14,0,4,0,0,40,40,0%,6
ID293,64,2,15,1,4,1,0,60,60,0%,5
ID294,64,1,19,0,4,1,13,70,83,16%,4
ID295,65,1,13,0,2,1,0,99,99,0%,4
ID296,65,3,19,0,2,0,0,120,120,0%,6
ID297,65,1,16,1,3,1,0,14,14,0%,7
ID298,65,0,17,1,3,1,35,76,111,32%,7
ID299,65,0,19,1,4,1,3,11,14,21%,6
ID300,65,1,14,0,4,1,2,98,100,2%,2
ID301,65,2,18,1,4,1,2,139,141,1%,1
ID302,66,0,14,1,4,1,0,66,66,0%,10
ID303,66,0,15,0,4,1,37,89,126,29%,4
ID304,66,1,16,0,4,1,0,97,97,0%,7
ID305,66,1,17,0,4,1,0,50,50,0%,6
